Id,Restaurant_Name,Cuisines,Price_For_One,Location,Rating,Latitude,Longitude,Delivery_review_number,Urls
R237,Gully Treats,Street Food,100,"Basaveshwara Nagar, Bangalore",4.1,12.9975148155,77.5410653651,1905.0,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
R237,Gully Treats,Fast Food,100,"Basaveshwara Nagar, Bangalore",4.1,12.9975148155,77.5410653651,1905.0,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
R237,Gully Treats,North Indian,100,"Basaveshwara Nagar, Bangalore",4.1,12.9975148155,77.5410653651,1905.0,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
R237,Gully Treats,Sandwich,100,"Basaveshwara Nagar, Bangalore",4.1,12.9975148155,77.5410653651,1905.0,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
R237,Gully Treats,Beverages,100,"Basaveshwara Nagar, Bangalore",4.1,12.9975148155,77.5410653651,1905.0,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
R237,Gully Treats,Sichuan,100,"Basaveshwara Nagar, Bangalore",4.1,12.9975148155,77.5410653651,1905.0,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
R238,Davanagere Benne Dose,South Indian,50,"Jayanagar, Bangalore",4.1,12.9196581888,77.5927961245,13900.0,https://www.zomato.com/bangalore/davanagere-benne-dose-jayanagar-bangalore/order
R238,Davanagere Benne Dose,Kerala,50,"Jayanagar, Bangalore",4.1,12.9196581888,77.5927961245,13900.0,https://www.zomato.com/bangalore/davanagere-benne-dose-jayanagar-bangalore/order
R239,Bhartiya Jalpan,North Indian,50,"Commercial Street, Bangalore",3.8,12.9817115166,77.6095622778,2088.0,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
R239,Bhartiya Jalpan,Street Food,50,"Commercial Street, Bangalore",3.8,12.9817115166,77.6095622778,2088.0,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
R239,Bhartiya Jalpan,Rajasthani,50,"Commercial Street, Bangalore",3.8,12.9817115166,77.6095622778,2088.0,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
R239,Bhartiya Jalpan,Bengali,50,"Commercial Street, Bangalore",3.8,12.9817115166,77.6095622778,2088.0,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
R239,Bhartiya Jalpan,Mithai,50,"Commercial Street, Bangalore",3.8,12.9817115166,77.6095622778,2088.0,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
R239,Bhartiya Jalpan,Beverages,50,"Commercial Street, Bangalore",3.8,12.9817115166,77.6095622778,2088.0,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
R239,Bhartiya Jalpan,Desserts,50,"Commercial Street, Bangalore",3.8,12.9817115166,77.6095622778,2088.0,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order
