Name,Price_For_One,Cuisines,Rating,Urls
Barbeque Nation,₹200 for one,"North Indian, Biryani, Kebab, Beverages, Desserts",3.7,https://www.zomato.com/bangalore/barbeque-nation-ulsoor-bangalore/order
Kolkata No. 1 Kati Rolls,₹100 for one,Rolls,3.9,https://www.zomato.com/bangalore/kolkata-no-1-kati-rolls-rajajinagar-bangalore/order
Madurai Idly Shop,₹100 for one,South Indian,3.9,https://www.zomato.com/bangalore/madurai-idly-shop-1-koramangala-7th-block-bangalore/order
Biggies Burger,₹100 for one,"Burger, Wraps, Fast Food, Shake, Beverages, Desserts",4.1,https://www.zomato.com/bangalore/biggies-burger-church-street-bangalore/order
Sagar Hotel,₹100 for one,"North Indian, Chinese, Street Food, Fast Food, South Indian, Juices, Beverages",4.2,https://www.zomato.com/bangalore/sagar-hotel-rajajinagar/order
Chowman,₹100 for one,"Chinese, Asian, Thai, Oriental, Seafood, Sichuan, Beverages, Desserts",4,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/order
New Udupi Grand,₹100 for one,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake",3.7,https://www.zomato.com/bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore/order
Biryani Trip - Destination Hyderabad,₹100 for one,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",4.4,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-seshadripuram-bangalore/order
Savoury Restaurant,₹100 for one,"Arabian, Mughlai, North Indian, Chinese, Fast Food, Beverages, Shake, Desserts",4.1,https://www.zomato.com/bangalore/savoury-restaurant-1-frazer-town/order
Kapoor's Cafe,₹100 for one,"North Indian, Desserts, Beverages",4.1,https://www.zomato.com/bangalore/kapoors-cafe-rajajinagar-bangalore/order
T’s 21 Spice Biryani,₹100 for one,"Biryani, South Indian",4,https://www.zomato.com/bangalore/ts-21-spice-biryani-indiranagar-bangalore/order
Pizza House,₹100 for one,"Pizza, Fast Food, Burger",4.1,https://www.zomato.com/bangalore/pizza-house-1-rt-nagar-bangalore/order
Namaste,₹100 for one,"South Indian, Beverages",3.6,https://www.zomato.com/bangalore/namaste-malleshwaram-bangalore/order
Just Bake,₹250 for one,"Bakery, Desserts, Street Food",3.9,https://www.zomato.com/bangalore/just-bake-seshadripuram/order
Chef Bakers,₹250 for one,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts",3.6,https://www.zomato.com/bangalore/chef-bakers-koramangala-7th-block-bangalore/order
Meghduth Biryanis,₹250 for one,"Biryani, South Indian",3.6,https://www.zomato.com/bangalore/meghduth-biryanis-jayanagar-bangalore/order
Sardarji Londonwaley,₹250 for one,"North Indian, Chinese, Mughlai",3.7,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/order
IDC Kitchen,₹250 for one,"South Indian, Beverages",4.2,https://www.zomato.com/bangalore/idc-kitchen-residency-road-bangalore/order
Punjabi Nawabi,₹250 for one,"North Indian, Biryani, Mughlai, Chinese, Kebab",3.6,https://www.zomato.com/bangalore/punjabi-nawabi-koramangala-7th-block-bangalore/order
Kabab King,₹250 for one,"North Indian, Chinese, Juices, Shake",3.4,https://www.zomato.com/bangalore/kabab-king-kumaraswamy-layout-bangalore/order
Arabian Shawarma,₹250 for one,"Shawarma, Fast Food, Beverages",3.9,https://www.zomato.com/bangalore/arabian-shawarma-1-kammanahalli-bangalore/order
Szechuan Dragon,₹250 for one,"Chinese, Asian, Thai, Momos",4.1,https://www.zomato.com/bangalore/szechuan-dragon-banashankari/order
Momoz,₹250 for one,"Chinese, Momos, Sichuan",4,https://www.zomato.com/bangalore/momoz-rt-nagar-bangalore/order
GOPIZZA,₹250 for one,"Pizza, Fast Food",4.2,https://www.zomato.com/bangalore/gopizza-2-banaswadi-bangalore/order
LunchBox - Meals and Thalis,₹250 for one,North Indian,4,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-shanti-nagar-bangalore/order
Donne Biryani Mane,₹150 for one,"Biryani, South Indian",4,https://www.zomato.com/bangalore/donne-biryani-mane-koramangala-4th-block-bangalore/order
D - Zaprino,₹150 for one,"Pizza, Burger, Wraps, Biryani, Fast Food, Street Food, Desserts, Beverages",3.9,https://www.zomato.com/bangalore/d-zaprino-rajajinagar-bangalore/order
Big Bowl Company,₹150 for one,"North Indian, Chinese, Biryani, Momos, Sichuan",3.7,https://www.zomato.com/bangalore/big-bowl-company-hosur-road-bangalore/order
Delicacy,₹150 for one,"Chinese, Thai",3.8,https://www.zomato.com/bangalore/delicacy-frazer-town/order
Aubree,₹150 for one,"Bakery, Desserts, Italian, Thai, Fast Food",4.3,https://www.zomato.com/bangalore/aubree-sadashiv-nagar/order
Just Shawarma,₹150 for one,"Lebanese, Fast Food, Beverages",3.8,https://www.zomato.com/bangalore/just-shawarma-indiranagar-bangalore/order
Keventers - Milkshakes & Desserts,₹150 for one,"Shake, Beverages, Desserts",4.2,https://www.zomato.com/bangalore/keventers-milkshakes-desserts-brigade-road-bangalore/order
Cake N Chef,₹150 for one,"Bakery, Desserts",4,https://www.zomato.com/bangalore/cake-n-chef-bannerghatta-road-bangalore/order
Mandya Nati Style,₹150 for one,"South Indian, Biryani",3.6,https://www.zomato.com/bangalore/mandya-nati-style-vijay-nagar-bangalore/order
Brahmins' Thatte Idli,₹150 for one,South Indian,4.2,https://www.zomato.com/bangalore/brahmins-thatte-idli-1-malleshwaram-bangalore/order
WOW! China,₹150 for one,"Chinese, Rolls",3.8,https://www.zomato.com/bangalore/wow-china-church-street-bangalore/order
Juice Junction,₹150 for one,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food",4.2,https://www.zomato.com/bangalore/juice-junction-st-marks-road/order
The Dessert Heaven - Pure Veg,₹100 for one,"Desserts, Bakery",4.3,https://www.zomato.com/bangalore/the-dessert-heaven-pure-veg-koramangala-6th-block-bangalore/order
Ambur Biryani Point,₹100 for one,"Biryani, Fast Food",3.5,https://www.zomato.com/bangalore/ambur-biryani-point-koramangala-8th-block-bangalore/order
Just Cakes,₹100 for one,"Bakery, Desserts",3.8,https://www.zomato.com/bangalore/just-cakes-koramangala-7th-block-bangalore/order
Great Indian Khichdi by EatFit,₹100 for one,"Healthy Food, North Indian, Ice Cream, Desserts, Beverages",4,https://www.zomato.com/bangalore/great-indian-khichdi-by-eatfit-cunningham-road-bangalore/order
99 Varieties Dosa & Pav Bhaji,₹100 for one,South Indian,3.7,https://www.zomato.com/bangalore/99-varieties-dosa-pav-bhaji-btm-bangalore/order
Hotel Kadamba Veg,₹100 for one,"South Indian, North Indian, Chinese, Salad, Mithai, Beverages",4.2,https://www.zomato.com/bangalore/hotel-kadamba-veg-rajajinagar/order
